Well ID,Top,Base,
49035234070000,14128,14129,1
49035234070000,13645,13646,1
49035234070000,13651,13652,1
49035234070000,13728,13729,1
49035234070000,13732,13733,1
49035234070000,13738,13739,1
49035234070000,13742,13743,1
49035234070000,13746,13747,1
49035234070000,13751,13752,1
49035234070000,13211,13212,1
49035234070000,13214,13215,1
49035234070000,13303,13304,1
49035234070000,13307,13308,1
49035234070000,13310,13311,1
49035234070000,13313,13314,1
49035234070000,13342,13343,1
49035234070000,13346,13347,1
49035234070000,13356,13357,1
49035234070000,13362,13363,1
49035234070000,13368,13369,1
49035234070000,12810,12811,1
49035234070000,12816,12817,1
49035234070000,12858,12859,1
49035234070000,12865,12866,1
49035234070000,12880,12881,1
49035234070000,12886,12887,1
49035234070000,12898,12899,1
49035234070000,12920,12921,1
49035234070000,12926,12927,1
49035234070000,13001,13002,1
49035234070000,13010,13011,1
49035234070000,13014,13015,1
49035234070000,12282,12283,1
49035234070000,12328,12329,1
49035234070000,12339,12340,1
49035234070000,12347,12348,1
49035234070000,12363,12364,1
49035234070000,12370,12371,1
49035234070000,12380,12381,1
49035234070000,12420,12421,1
49035234070000,12441,12442,1
49035234070000,12453,12454,1
49035234070000,12567,12568,1
49035234070000,12644,12645,1
49035234070000,11898,11899,1
49035234070000,11907,11908,1
49035234070000,11930,11931,1
49035234070000,11939,11940,1
49035234070000,11979,11980,1
49035234070000,12008,12009,1
49035234070000,12084,12085,1
49035234070000,12118,12119,1
49035234070000,12204,12205,1
49035234070000,11648,11649,1
49035234070000,11659,11660,1
49035234070000,11687,11688,1
49035234070000,11696,11697,1
49035234070000,11705,11706,1
49035234070000,11719,11720,1
49035234070000,11736,11737,1
49035234070000,11748,11749,1
49035234070000,11758,11759,1
49035234070000,11803,11804,1
49035234070000,11820,11821,1
49035234070000,11834,11835,1
49035234070000,11038,11039,1
49035234070000,11088,11089,1
49035234070000,11101,11102,1
49035234070000,11290,11291,1
49035234070000,11354,11355,1
49035234070000,11387,11388,1
49035234070000,11429,11430,1
49035234070000,11441,11442,1
